20250109,信达信安里,136000,1100-1400(万/套)
20250109,陕建名城·映蓝,25000,211-304(万/套)
20250109,招商南山虹桥璀璨领峯,56000,550-720(万/套)
20250109,保利西郊和煦,44000,430(万/套)
20250109,中企云启春申,80000,770-1076(万/套)
20250109,光明星城,26000,187-353(万/套)
20250109,华发海上都荟,43000,390-430(万/套)
20250109,华发虹桥四季,56000,480-780(万/套)
20250109,香逸铂悦,19000,210-247(万/套)
20250109,嘉润万象城,25000,50(万/套)
20250109,太仓港商贸中心,7800,75(万/套)
20250109,大宁揽翠艺墅,140000,3500(万/套)
20250109,上海长滩,57481,365-1600(万/套)
20250109,长城逸府,21579,195-249(万/套)
20250109,上海高尔夫社区,16900,158-283(万/套)
20250109,上海高尔夫社区,27200,778(万/套)
20250109,品尊国际,120000,1542-2477(万/套)
20250109,露香园,价格待定,0
20250109,中鹰黑森林,140000,3500-4500(万/套)
20250109,滨江凯旋门,138000,4645(万/套)
20250109,凯迪迪美逊,价格待定,0
20250109,御岛财富,30000,700-890(万/套)
20250109,通用昱墅(海上兰乔别墅),36000,1000-1450(万/套)
20250109,湖山香颂湾,31000,335(万/套)
20250109,东亚威尼斯公馆,27999,401(万/套)
20250109,华山夏都苑,价格待定,0
20250109,水榭兰亭,25500,200-325(万/套)
20250109,春申景城四期,价格待定,0
20250109,禹洲东滩雍禧,36000,369-433(万/套)
20250109,碧海银沙威尼斯,7000,35.8-88.8(万/套)
